feature,importance,rank
V258,11644.3837890625,1
V294,5748.81884765625,2
V70,3387.330810546875,3
C8,3149.096923828125,4
V69,2346.052001953125,5
V201,1982.780517578125,6
V91,1916.8773193359375,7
V158,1843.2459716796875,8
V187,1601.9324951171875,9
V30,1596.4124755859375,10
V308,1533.567626953125,11
C14,1465.6968994140625,12
card6,1099.9869384765625,13
C4,1076.731689453125,14
V197,955.3090209960938,15
V317,801.390380859375,16
M4,800.3639526367188,17
V283,780.5065307617188,18
C10,736.1858520507812,19
payer_past_fraud_count_30d,677.981201171875,20
D2,613.0079956054688,21
C5,589.7740478515625,22
V128,589.142578125,23
C11,586.08203125,24
V157,576.136962890625,25
V45,542.797119140625,26
V330,485.055908203125,27
C1,477.7327880859375,28
V312,448.305419921875,29
V102,440.0999450683594,30
C13,420.1566467285156,31
V335,417.1600341796875,32
V21,405.5321044921875,33
V296,383.41546630859375,34
D12,367.43658447265625,35
V281,358.6266784667969,36
id_32,350.1539611816406,37
C6,347.6347351074219,38
V307,343.0721740722656,39
V95,340.8987731933594,40
id_35,339.3447570800781,41
ProductCD,339.14300537109375,42
addr2,338.85870361328125,43
V162,330.2383117675781,44
V155,326.5220031738281,45
V286,315.2430725097656,46
DeviceType,304.86761474609375,47
V54,301.8125,48
D3,300.2751159667969,49
V156,299.0736083984375,50
payer_txn_count_24h,294.25946044921875,51
V133,291.8033447265625,52
M5,287.861572265625,53
V83,287.83587646484375,54
V177,285.19671630859375,55
V149,274.984619140625,56
V87,268.7437438964844,57
D5,264.4795837402344,58
id_34,261.5097351074219,59
M6,259.2912902832031,60
R_emaildomain,258.37176513671875,61
V50,255.42196655273438,62
id_09,251.7973175048828,63
V323,250.73233032226562,64
amount,248.89175415039062,65
V324,244.77020263671875,66
V34,242.68505859375,67
TransactionDT,240.87355041503906,68
id_01,240.38198852539062,69
card3,236.50511169433594,70
M3,231.28440856933594,71
id_36,227.47744750976562,72
V314,226.99777221679688,73
C2,219.5821533203125,74
V58,216.73760986328125,75
DeviceInfo,215.6377716064453,76
V310,215.18873596191406,77
V298,209.03738403320312,78
V82,202.15296936035156,79
V285,199.8860626220703,80
V97,198.7334747314453,81
D10,197.39443969726562,82
P_emaildomain,197.08438110351562,83
V228,194.45782470703125,84
D1,194.0654296875,85
id_24,193.93443298339844,86
device_distinct_payers_7d,193.8931121826172,87
V55,193.43646240234375,88
V309,193.39605712890625,89
C9,193.37879943847656,90
D15,192.12171936035156,91
V200,191.3867645263672,92
V67,191.12860107421875,93
V13,191.00755310058594,94
D4,190.3982696533203,95
V311,189.061767578125,96
V160,188.8881378173828,97
V43,186.9412384033203,98
V76,186.63778686523438,99
V152,185.95513916015625,100
V49,185.2504425048828,101
V288,185.11204528808594,102
C12,181.21536254882812,103
V75,180.66464233398438,104
id_38,179.95956420898438,105
V169,179.81983947753906,106
V124,179.50790405273438,107
V131,179.20628356933594,108
M1,177.70767211914062,109
device_txn_count_1h,177.30978393554688,110
V42,175.9410858154297,111
V48,175.75245666503906,112
M9,175.0912322998047,113
V73,174.78451538085938,114
V38,173.60928344726562,115
V62,172.49362182617188,116
V320,170.72543334960938,117
V29,170.49420166015625,118
V263,169.78720092773438,119
device_txn_count_24h,169.66012573242188,120
V53,168.47994995117188,121
V60,168.129638671875,122
card2,166.95797729492188,123
payer_vpa,166.66262817382812,124
id_15,166.3839874267578,125
dist1,165.55726623535156,126
V12,165.40374755859375,127
V176,165.15664672851562,128
V99,164.85765075683594,129
V5,164.8245849609375,130
V332,164.7639923095703,131
V282,163.77264404296875,132
M2,163.75596618652344,133
V165,163.64576721191406,134
V137,162.92526245117188,135
payer_distinct_payees_7d,161.58058166503906,136
V315,160.73190307617188,137
V125,159.98538208007812,138
id_10,159.21575927734375,139
V172,158.91366577148438,140
card5,158.49359130859375,141
D8,156.2777099609375,142
V127,155.8547821044922,143
V33,155.55812072753906,144
card1,152.9063262939453,145
V64,152.86956787109375,146
V109,151.8875732421875,147
V19,150.75486755371094,148
V225,150.38671875,149
addr1,149.4516143798828,150
V115,149.2154998779297,151
V96,148.853271484375,152
V23,148.64306640625,153
V86,147.81671142578125,154
V261,147.54409790039062,155
V163,146.84776306152344,156
id_03,144.14129638671875,157
V338,143.64468383789062,158
V224,143.2301483154297,159
V36,143.13616943359375,160
V287,143.0715789794922,161
V210,142.97799682617188,162
V159,142.2879180908203,163
payer_txn_sum_24h,141.88442993164062,164
V253,139.2569122314453,165
V35,137.59097290039062,166
V146,137.49061584472656,167
id_17,137.4895477294922,168
V313,136.32513427734375,169
V90,135.86439514160156,170
D13,133.89649963378906,171
V189,132.17138671875,172
V78,131.57012939453125,173
V333,131.45919799804688,174
V136,131.15475463867188,175
V221,130.90599060058594,176
V337,130.3406982421875,177
V134,129.49609375,178
V7,129.19253540039062,179
V130,129.1265106201172,180
V129,129.1139373779297,181
id_02,128.9571990966797,182
V180,128.7777099609375,183
V289,128.53778076171875,184
V209,127.94486236572266,185
V161,126.87568664550781,186
V52,126.82058715820312,187
D11,125.33920288085938,188
C3,125.3280258178711,189
V271,124.75572204589844,190
V164,124.69140625,191
V293,123.28053283691406,192
V56,123.08452606201172,193
V276,123.0062255859375,194
V11,122.99203491210938,195
V66,122.38756561279297,196
card4,122.30290222167969,197
id_33,120.43536376953125,198
V306,119.8558120727539,199
id_30,119.75614166259766,200
anomaly_score,119.6111068725586,201
V171,119.5923843383789,202
V256,119.3984146118164,203
V219,119.27291107177734,204
V77,117.28579711914062,205
V24,116.99939727783203,206
V204,116.36821746826172,207
id_18,116.35377502441406,208
V220,116.1050796508789,209
V262,115.8795166015625,210
id_20,115.76915740966797,211
V144,115.35321807861328,212
D6,114.95999908447266,213
V47,114.71710205078125,214
M7,114.3671875,215
V279,114.20311737060547,216
V181,112.67738342285156,217
id_14,111.30458068847656,218
V74,109.28556823730469,219
V61,108.92093658447266,220
V6,108.85852813720703,221
C7,108.71244812011719,222
V121,107.95877838134766,223
V239,107.7056884765625,224
V280,107.55872344970703,225
V143,106.35015106201172,226
id_04,105.61024475097656,227
V20,104.36988067626953,228
V126,103.11003875732422,229
V235,102.88971710205078,230
V145,102.28487396240234,231
V336,101.634765625,232
V245,100.88428497314453,233
V260,100.28314971923828,234
V227,99.9268798828125,235
V44,99.12538146972656,236
V85,99.07257080078125,237
id_21,99.04342651367188,238
id_05,98.43535614013672,239
V183,97.97273254394531,240
V40,97.94229888916016,241
V166,97.82137298583984,242
V257,97.56129455566406,243
V214,97.50228118896484,244
id_31,97.46622467041016,245
V249,96.5298080444336,246
D9,96.27191162109375,247
V150,95.85041809082031,248
V291,95.3603515625,249
V39,95.2868881225586,250
V4,93.78471374511719,251
V251,93.57679748535156,252
V297,93.23759460449219,253
payer_txn_sum_5min,92.77082061767578,254
V26,92.62357330322266,255
V207,92.02566528320312,256
V339,91.88788604736328,257
V182,91.48027038574219,258
payer_txn_count_1h,90.94611358642578,259
V59,90.4248046875,260
V151,90.07593536376953,261
V25,89.58950805664062,262
V105,88.19557189941406,263
V100,87.86936950683594,264
id_13,87.68142700195312,265
V8,87.13552856445312,266
V79,86.61200714111328,267
id_11,86.29431915283203,268
V2,86.22893524169922,269
payer_txn_sum_1h,85.66918182373047,270
V51,85.12854766845703,271
V300,84.92355346679688,272
V120,84.65206909179688,273
V168,83.30966186523438,274
V226,82.48625946044922,275
V222,81.55223846435547,276
V37,80.99528503417969,277
V290,80.83203125,278
V139,80.79618835449219,279
id_06,80.38550567626953,280
V10,79.79757690429688,281
V295,79.45954132080078,282
V178,79.19608306884766,283
V206,79.0733413696289,284
V31,78.89207458496094,285
id_19,78.74735260009766,286
V326,78.63688659667969,287
V232,78.60247802734375,288
V318,78.55072021484375,289
dist2,78.0946273803711,290
V267,76.95585632324219,291
V272,76.61721801757812,292
V316,76.57667541503906,293
V81,76.38350677490234,294
V268,76.36109924316406,295
V247,76.19694519042969,296
id_25,75.86178588867188,297
D14,75.63558197021484,298
V27,75.58320617675781,299
V234,75.18675231933594,300
V240,74.97319030761719,301
V265,74.71776580810547,302
V325,73.578125,303
M8,72.82117462158203,304
V321,71.46745300292969,305
V170,71.24576568603516,306
V266,70.9504165649414,307
V299,70.88642883300781,308
V185,70.40447998046875,309
V57,70.27779388427734,310
V63,69.75432586669922,311
id_37,69.40678405761719,312
V329,67.55791473388672,313
V319,66.87348175048828,314
V9,66.42976379394531,315
V175,66.144287109375,316
V217,65.3237533569336,317
V147,65.18206024169922,318
V229,64.96190643310547,319
V94,64.94288635253906,320
id_08,64.79090118408203,321
V259,64.23297119140625,322
V3,63.47841262817383,323
V322,63.44085693359375,324
V32,63.18141174316406,325
id_07,62.96890640258789,326
D7,62.420772552490234,327
V101,60.08924102783203,328
V223,59.25471878051758,329
V17,58.83859634399414,330
V173,56.77117919921875,331
V231,56.38750076293945,332
V274,56.141021728515625,333
V304,54.91658401489258,334
V302,54.692230224609375,335
V213,53.9409294128418,336
V212,53.37044143676758,337
V278,53.18144607543945,338
V273,52.656288146972656,339
V190,52.63307189941406,340
V216,52.5058708190918,341
V328,52.398677825927734,342
V203,51.42327117919922,343
V205,50.30356216430664,344
V243,50.077362060546875,345
V132,49.398895263671875,346
V184,49.26935577392578,347
id_26,46.66801452636719,348
V80,46.2176513671875,349
V135,45.07484817504883,350
V244,44.552730560302734,351
V18,42.1368408203125,352
V103,41.20952606201172,353
V198,40.22227478027344,354
V167,39.401981353759766,355
V334,39.20668029785156,356
V186,38.566280364990234,357
V277,38.4214973449707,358
V174,37.732967376708984,359
payer_txn_count_5min,37.645355224609375,360
V238,36.78269577026367,361
V208,36.52538299560547,362
V270,35.287261962890625,363
V140,35.26618957519531,364
V188,34.575782775878906,365
V192,34.566017150878906,366
V153,33.10123062133789,367
V242,30.44578742980957,368
V92,30.194091796875,369
V112,28.861116409301758,370
V193,28.027679443359375,371
V252,26.265932083129883,372
V15,24.812053680419922,373
V237,24.581390380859375,374
V292,23.544321060180664,375
V202,22.118547439575195,376
V264,21.697261810302734,377
V254,21.235124588012695,378
V230,19.00241470336914,379
V154,18.454673767089844,380
V148,17.57575225830078,381
V108,16.885955810546875,382
V196,16.195846557617188,383
V215,11.860565185546875,384
V211,11.753262519836426,385
V98,11.610057830810547,386
id_12,11.40313720703125,387
V248,10.551280975341797,388
V218,10.430777549743652,389
V199,7.960788726806641,390
V303,4.48046875,391
V179,1.2947044372558594,392
V233,0.0,393
V236,0.0,394
V241,0.0,395
V275,0.0,396
V269,0.0,397
V246,0.0,398
id-35,0.0,399
id-33,0.0,400
id-30,0.0,401
id-31,0.0,402
id-32,0.0,403
id-25,0.0,404
id-26,0.0,405
id-27,0.0,406
id-20,0.0,407
id-21,0.0,408
id-22,0.0,409
id-23,0.0,410
id-24,0.0,411
V255,0.0,412
V250,0.0,413
id-34,0.0,414
id-28,0.0,415
id-29,0.0,416
V194,0.0,417
V305,0.0,418
V191,0.0,419
V116,0.0,420
V114,0.0,421
V113,0.0,422
V111,0.0,423
V107,0.0,424
V110,0.0,425
V104,0.0,426
V106,0.0,427
V327,0.0,428
V331,0.0,429
V138,0.0,430
V141,0.0,431
V142,0.0,432
V119,0.0,433
V122,0.0,434
V123,0.0,435
V301,0.0,436
V195,0.0,437
V284,0.0,438
V84,0.0,439
V89,0.0,440
V72,0.0,441
V71,0.0,442
id_22,0.0,443
V117,0.0,444
V28,0.0,445
V41,0.0,446
V68,0.0,447
V65,0.0,448
V88,0.0,449
V118,0.0,450
V93,0.0,451
V16,0.0,452
V14,0.0,453
V46,0.0,454
V22,0.0,455
V1,0.0,456
id_16,0.0,457
id_23,0.0,458
id_27,0.0,459
id_28,0.0,460
id_29,0.0,461
id-01,0.0,462
id-02,0.0,463
id-03,0.0,464
id-04,0.0,465
id-05,0.0,466
id-06,0.0,467
id-07,0.0,468
id-08,0.0,469
id-09,0.0,470
id-10,0.0,471
id-11,0.0,472
id-12,0.0,473
id-13,0.0,474
id-14,0.0,475
id-15,0.0,476
id-16,0.0,477
id-17,0.0,478
id-18,0.0,479
id-19,0.0,480
id-36,0.0,481
id-37,0.0,482
id-38,0.0,483
